,Property Link,Date,Review Rating,Review Tagline,Comments
0,https://www.homeaway.com/vacation-rental/p1000517vb#reviews,"Jul 26, 2018",5/5,Great home for a weekend away!,"Barbara couldn't have made staying at her home any easier! The communication before and during our stay was wonderful and then the home itself turned out to be even better than it looked in photos! The home is spacious and cozy with a great backyard and pool which we definitely took advantage of. The home is very close to a grocery store as well. Overall, I would happily recommend this spot to any groups of travelers looking for a quiet cozy place to spend a vacation.

"
1,https://www.homeaway.com/vacation-rental/p1000517vb#reviews,"Jan 15, 2018",5/5,Colorful and clean house perfect for a group of four,"We were four co-workers traveling to Austin for a week on a business trip.

Location : One of the key deciding factors for us was the place need to be within 10 minutes from Domain. Drive from this house to Domain was predictable 10 minute through out the week, which was awesome. HEB and several stores are within few minutes drive, which makes it convenient for quick grocery run.

House : Pictures represent the house very accurately. No surprises, which is a big deal in vacation rentals. Colorful and clean house and has all the amenities described in the listing. There is a small deck on the tree (yes built on the tree trunk), which is missing in the pictures and description. Kids would love this. Kitchen was small but very functional and had all type of utensils and basic seasoning. Two rooms had their own bathrooms and the other two rooms had to share one bathroom. Swimming pool looked great but we didn't venture out in the cold. Hot tub was great and was perfect for chilly evenings. Functional gas grill would excite every type of traveler.

Checkin/Checkout : Booking confirmation email had all the details regarding check-in and check-out process and it was a breeze to enter the place.

Host: Barbara was a fantastic host and was regularly checking to see if our stay was coming along as expected. We requested her for a mid week house cleaning, which was clearly not part of the agreement. She went above and beyond to make it happen without any additional cost. This is not common for rentals less than a week. We appreciate the gesture.

Overall, we highly recommend this place and would love for the opportunity to come back and stay here.

"
2,https://www.homeaway.com/vacation-rental/p1004864vb#reviews,"Apr 29, 2018",5/5,Incredible Experience,"We had an amazing time staying at Dan's beautiful home. A few friends and I were in Austin for the weekend and his house made the trip. The backyard/pool area is incredible. The interior is modern and perfectly decorated. We'll certainly be back. Highly recommended.

"
3,https://www.homeaway.com/vacation-rental/p1004864vb#reviews,"Mar 27, 2018",5/5,"Great Looking, Modern House in Awesome Zilker Neighborhood","Had a great experience staying in Zilker at Dan's house, top-notch hospitality all around. The house was in beautiful condition and was the perfect place for our visit to Austin. Awesome outdoor amenities, pool, hot tub, ping-pong, spacious bedrooms and a beautiful enormous (80"") flat-screen for the couple of down moments we did enjoy. The house is only a couple of blocks from S Lamar and many great restaurants, coffee shops etc. Our host Dan was incredibly generous and responsive, also very detailed with all the necessary information to properly enjoy the house and surrounding neighborhood. Would highly recommend this for anyone visiting Austin. Can't wait to go back!

"
4,https://www.homeaway.com/vacation-rental/p1004864vb#reviews,"Oct 9, 2017",5/5,Perfect ACL house!!,"Owners were fantastic, House was gorgeous and the backyard was the perfect before and after party for ACL. We will absolutely be back.

"
5,https://www.homeaway.com/vacation-rental/p1006015vb#reviews,"Aug 13, 2018",4/5,The Catherine,"Stayed in Unit 1710 at the Cathrine. Accomendations were great. Good location...5 minute ride to Downtown Austin.

The condo was very clean and nicely furnished. Don't plan to cook there though, limited plates etc. And the sink in the master bedroom took forever to go down. Outside of that, a great place to stay and I would go back again if I revisit Austin.

"
6,https://www.homeaway.com/vacation-rental/p1006015vb#reviews,"Jul 26, 2018",5/5,Second time staying here...,"Beautiful place, phenomenal views and Lux Haus is great to deal with. One of the better places & experiences that we've had.

"
7,https://www.homeaway.com/vacation-rental/p1006015vb#reviews,"May 29, 2018",5/5,"Perfect location, beautiful apartment","We loved our stay at the Lux Haus. The apartment was beautiful with views of the riverside. It was the absolute perfect location for us - in the heart of the downtown area, walking distance to all race activities. Check-in and check-out were super easy. Beds were comfortable, the place was spacious, gorgeous and clean. Our only wish was that there were more kitchen supplies (dishwasher soap, a cutting board, a few more knives, etc.). But we made do!

"
8,https://www.homeaway.com/vacation-rental/p1006015vb#reviews,"May 16, 2018",5/5,Excellent and All That We Hopes for . . .,"Lovely setting. Great views. Easy access to many Austin attractions, including 2nd St and Congress Ave. really cozy and comfy beds. Very clean. Airy and light, with great views and lovely balconies.

"
9,https://www.homeaway.com/vacation-rental/p1006015vb#reviews,"May 3, 2018",4/5,Great Condo,"My two children and I stayed for 3 nights and had a great time in this condo. The residents are very friendly, the pool was great and the grill was very awesome to cookout on. The only negative is there is not many pots or cooking supplies in the kitchen. We would stay here again in a heartbeat!

"
10,https://www.homeaway.com/vacation-rental/p1006015vb#reviews,"Apr 15, 2018",5/5,Great place to stay!,"Great location, we were able to walk almost everywhere we wanted to go. Really nice view!

"
11,https://www.homeaway.com/vacation-rental/p1006015vb#reviews,"Apr 9, 2018",3/5,"Nice apartment, but....","Nice place and decent location. But furnishings, bedding are starting to look ""lived in"". Apartment should have been a bit cleaner as well. I wiped the counter down with Clorox and my cloth was dirty....not a great start to a vacation.

"
12,https://www.homeaway.com/vacation-rental/p1006015vb#reviews,"Apr 7, 2018",5/5,Great apartment .,"Very well situated building with all modern amenities, great location- close to the park, restaurants and markets.

Apartment is clean, comfortable for family of 4. I would stay in the apartment again and would recommend without any hesitation.

"
