,Property Link,Date,Review Rating,Review Tagline,Comments
0,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jul 1, 2010",3/5,"Great location, but house needs work","The grounds are beautiful and very peaceful. The kitchen is large and quite nice. The two TV rooms were very convenient. However, the bedrooms are very small and there are only two in-suite bathrooms out of 7 bedrooms. In addition, the bathrooms do not have an air conditioner vent, nor do they have a humidity vent. It was miserable. The bathrooms never cooled off. Also the half bath only had boiling hot water in the faucet. No cold water available, so we could not use it.

Except for the large master downstairs, most of the bedrooms had only a regular bed. If you and your husband haven't slept on a regular bed in a long while, it can be a very difficult adjustment.

"
1,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jun 10, 2010",5/5,Lazy Crazy Fun,"Amazing place, especially for a large fun group. We had several couples traveling from Washington State for a May wedding in Austin. We also had several more friends who live in Austin come over to the ranch and join us for a big pool party and BBQ.

The property owner was very nice, easy to talk to, quick to respond to our questions. I highly recommend this property.

Plenty of bedrooms for all the couples, plenty of kitchen space to accommodate all the chefs, and definitely plenty of lounging around areas inside and outside for socializing.

The ""party barn"" was perfect for our ping-pong competitions, poker tournaments, and more socializing. The home furnishings were very comfortable and ""felt like home"". We did a lot of entertaining during our stay, so a big kitchen was definitely a huge plus. The kitchen was full of everything we could possibly need. We even ate some of the farm fresh eggs from the property chickens. The pool and patio areas were very clean and there were plenty of towels for everyone.

None of us wanted to leave the ranch, we all loved it so much. We all plan on coming back.

"
2,https://www.homeaway.com/vacation-rental/p169977#reviews,"Feb 2, 2010",5/5,Rocking Great Time,"What a fabulous place to stay with a group! There was honestly something for everyone in our group of fifteen with ages spanning 97 years....we went to celebrate my Dad's 100th birthday and the youngest great grand child is three.

We were met by the owner who showed us around the beautiful house, pool, fire pits, party barn, goat pens, chicken hutch. It was quite spectacular, very clean, gorgeous views, so private and perfect! But if you forgot something you had the HEB grocery and shopping 2 minutes away!

We could not have had more fun or have found a better place!

"
3,https://www.homeaway.com/vacation-rental/p169977#reviews,"Nov 2, 2009",5/5,Wonderful wedding venue!,"Wow, the Rockin Y Ranch was a fabulous venue for our daughter's wedding in August!! We were able to house our extended family & bridesmaids which allowed more visiting and family time. The accomodations were especially helpful for grandparents who were in their 80s. By having both the wedding and the reception on the ranch we were able to enjoy the beauty of the outdoor location and didn't spend time traveling from venue to venue. Texas Blooms provided beautiful flowers for our daughter's wildflower theme and Pappasito's catered a wonderful Fiesta reception, complete with a strolling mariachi band! The wild beauty of the ranch provided a wedding day to remember always. Our photographer was enthralled with all the photographic opportunities. Our wedding guests pronounced this ranch experience to have been the best wedding yet and we are eagerly waiting for another opportunity to rent the Rockin Y Ranch again!

"
4,https://www.homeaway.com/vacation-rental/p169977#reviews,"Oct 10, 2009",5/5,"Fantastic, laid back, relaxing","My Family gathered here just recently and found the home to be extremely comfortable, in a laid back atmosphere, where everyone could enjoy being with each other.

The barn with the pool table and fozz ball table was enjoyed and the goats were very friendly.

The best part was Teaspoon the aging lab - made us feel right at home!

We will be back next October

Tony and Kathy and family

"
5,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jul 12, 2009",5/5,Family Reunion/Rehearsal Dinner,"Our family enjoyed a five day stay at the Rockin Y that included hosting 60 guests for a Rehearsal Dinner BBQ for our son's Austin wedding. Everything about the stay was delightful from the eclectic Texas decor throughout the main house and barn playroom to our entertaining and helpful landlord Eric. The home is spacious making it comfortable for a diverse group, and the grounds and play barn offer hours of entertainment without ever getting in the car. Amenities of the house were beyond expectations, especially the kitchen which accommodated all the needs of our catering chef and staff. The Ranch is close to stores, and local restaurants...even those who deliver pizza late at night! Downtown Austin is just 15 minutes away and is served by local taxi services. Our family and guests throughly enjoyed the Ranch and would recommend it to anyone, especially those who are looking to experience the real Austin and Hill Country hospitality.

"
6,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jun 17, 2009",5/5,Wonderful Weekend!,"I'm originally from Austin and wanted to have a wedding celebration party there for all the folks who couldn't make it over to the UK. This was absolutely perfect - could not have asked for anything better! We set up for about 80 guests under the trees by the pool and got the Salt Lick to cater a BBQ dinner, and we had an afternoon pool party as well. The party barn was great - I saw guests playing ping pong and poker and darts all evening, and we had a lovely night dancing under the stars by the pool. A lot of people ended up sleeping on couches as it was so fun no one wanted to leave! Eric is a great host and showed us everything we needed to have a memorable party and I would recommend this place highly.

"
7,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jun 9, 2009",5/5,Wonderful Wedding weekend,"We had our wedding and reception/party at the Rockin'Y Ranch. This house was just absolutely perfect for us! We had 4 people from out of state, our grown children and other family members stay with us. We had chosen a beautiful place to be married outside and when we had very heavy rain move in about 1-2 hours before the wedding!! we were able to move furniture out of the living room and still have a beautiful ceremony! The party barn was perfect as we had a band....plenty of room for dancing as well as pool table and seating area for everyone. The kitchen is awesome! So much room to move around...which was VERY important as we were cooking all the food Friday night for the reception. We enjoyed the fire pit Sat. after the band left and the rain was long since gone. The pool was a great asset for the hot afternoons. And EVERYONE has to sit on the upstairs deck at some point of your stay....the view is awesome!! Amazing how much solitude & peace you feel although in the middle of a neighborhood! We are very much wanting to return in the near future. Thank you everyone with and at the Rockin Y

"
8,https://www.homeaway.com/vacation-rental/p169977#reviews,"Feb 22, 2009",5/5,Wedding Bliss,"Our daughter's wedding was in the vicinity of the Rockin'Y Ranch a couple of days ago. We had guests coming in from around the country. The Rockin'Y was the PERFECT accommodation for all of us. We all felt relaxed and at home. We were able to mingle with one another or retreat to a secluded corner or even hang out in the Party Barn.

Fabulous!

Plenty of elbow room.

The owner was accomodating to our needs and answered all questions. He was thorough with his tour and even intuitive to our circumstance well above our expectations.

To top all of great things off, we had an ""After Wedding Breakfast"" at the ranch for the bride and groom as well as out of town guests and friends on both sides. Folks found the place easily, were taken aback by its atmosphere and were very complimentary of the facility and ambiance. Again, the Rockin' Y was a perfect setting for that event. We prepared all food for the event in the ranch's exemplory kitchen.

Our guests at the Rockin' Y were already talking about using it for their Austin engagements in the future. One guest said that he would plan a reunion just so that he could use the facility.

We can not say enough good about our stay. Our youngest guest was 7 and oldest 84 years of age.

The place was to be mellow, safe and economical. (To house our guests in hotel rooms, we would have spent as much or more and would have not had the sense of community found at the Rockin' Y.

"
9,https://www.homeaway.com/vacation-rental/p169977#reviews,"Jan 28, 2009",5/5,Best in Austin,"I cannot say enough about this property. We rented this for a casual wedding reception weekend with most guest coming from out of town. We wanted a place that would allow all of our friends to stay with us (no hotels) and we wanted to feel like we had our privacy, but not so far out that people would get lost driving there. The ranch has sooooo much space allowing the older folks to chat in the living room, football on the big screen in the family room, louder party action in the barn (coolest party barn ever!) and then the relaxing walks through the catcus garden and back of property. The kitchen has everything we needed to serve 36 people a good ole texas bar b q. And slept 14 people with no issues.

 I would not hesitate to recommend this place for any family, big group, or even private getaway. Eric and his staff are VERY friendly and easy to work with. They made sure our event was perfect.

Location is another asset of this place. We took a $10 cab from downtown that took no more than 10 minutes. You really cant find a secluded space with amazing starlight views, thats only minutes from downtown. This really helped give our guests the true ""Texas"" experience.

The Rockin' Y is responsible for a wonderful memory, and we WILL be returning. You wont find a better place in Austin. Thanks again!

"
